"","cod_mun","ano_censo","mediaEducacao","psf"
"148",140047,2007,4.98581560283688,1
"149",140050,2007,5.51515151515152,1
"150",140060,2007,5.14285714285714,1
"151",140070,2007,4.04854368932039,1
"152",150010,2007,4.4546202922412,1
"153",150013,2007,3.98275862068966,1
"154",150020,2007,3.63542435424354,1
"155",150030,2007,4.12170542635659,0
"156",150034,2007,4.21428571428571,1
"157",150040,2007,4.25596658711217,1
"158",150050,2007,4.49948240165631,1
"159",150060,2007,4.73886178861789,1
"160",150070,2007,3.71063257065949,1
"161",150080,2007,4.65032221910899,1
"162",150085,2007,4.02409638554217,1
"163",150090,2007,4.13127001067236,1
"164",150095,2007,3.52336448598131,1
"165",150100,2007,4.29965156794425,0
"166",150110,2007,3.41188524590164,1
"167",150120,2007,4.21383647798742,1
"168",150125,2007,4.23684210526316,0
"169",150130,2007,4.45490716180371,1
"170",150140,2007,5.02288629737609,1
"171",150145,2007,4.62869198312236,1
"172",150150,2007,4.3588110403397,1
"173",150157,2007,4.18279569892473,1
"174",150160,2007,3.47787610619469,1
"175",150170,2007,4.52246520874751,1
"176",150172,2007,5.19066147859922,1
"177",150175,2007,4.44520547945205,1
"178",150178,2007,3.93617021276596,1
"179",150180,2007,3.66437233693871,1
"180",150190,2007,3.83100775193798,1
"181",150195,2007,3.94594594594595,1
"182",150200,2007,3.91494845360825,0
"183",150210,2007,4.24017094017094,1
"184",150215,2007,4.49484536082474,1
"185",150220,2007,4.54892205638474,1
"186",150230,2007,4.0643910007758,1
"187",150240,2007,4.62503597122302,1
"188",150250,2007,3.34246575342466,0
"189",150260,2007,4.35849056603774,1
"190",150270,2007,4.80825057295646,1
"191",150275,2007,3.57709923664122,1
"192",150276,2007,3.31578947368421,1
"193",150277,2007,4.69230769230769,1
"194",150280,2007,3.57886904761905,1
"195",150285,2007,4.60775862068965,0
"196",150290,2007,4.08978873239437,1
"197",150293,2007,4.64167393199651,1
"198",150295,2007,4.15902140672783,1
"199",150300,2007,4.30188679245283,0
"200",150304,2007,4.20725388601036,1
"201",150307,2007,3.51229508196721,0
"202",150309,2007,4.24354243542435,1
"203",150310,2007,3.75024201355276,1
"204",150320,2007,4.10593220338983,1
"205",150330,2007,3.94238683127572,1
"206",150340,2007,4.3469387755102,1
"207",150345,2007,3.75142857142857,1
"208",150350,2007,4.03367003367003,1
"209",150360,2007,4.4997195737521,1
"210",150370,2007,3.97742363877822,1
"211",150375,2007,3.67261904761905,0
"212",150380,2007,4.59375,1
"213",150390,2007,4.2292576419214,1
"214",150400,2007,3.98568872987478,1
"215",150405,2007,4.18252427184466,1
"216",150410,2007,4.41875,1
"217",150420,2007,4.78304570453252,1
"218",150430,2007,3.82172373081464,1
"219",150440,2007,4.28411214953271,1
"220",150442,2007,4.88871473354232,1
"221",150445,2007,4.46846846846847,1
"222",150450,2007,3.32673267326733,1
"223",150460,2007,4.24071082390953,1
"224",150470,2007,3.60813308687616,1
"225",150480,2007,4.46458449525934,1
"226",150490,2007,4.13414634146341,1
"227",150495,2007,3.37027707808564,1
"228",150497,2007,4.31428571428571,1
"229",150500,2007,4.2843137254902,1
"230",150503,2007,4.76744186046512,1
"231",150506,2007,4.11155378486056,1
"232",150510,2007,4.80031323414252,0
"233",150520,2007,3.85167464114833,1
"234",150530,2007,4.58890374331551,1
"235",150540,2007,4.24150943396226,1
"236",150543,2007,4.80551301684533,1
"237",150548,2007,3.81938325991189,1
"238",150549,2007,4.43410852713178,1
"239",150550,2007,4.59463785514206,1
"240",150553,2007,4.94726328405913,1
"241",150555,2007,4.12380952380952,1
"242",150560,2007,4.57471264367816,1
"243",150563,2007,4.18965517241379,1
"244",150565,2007,4.21428571428571,0
"245",150570,2007,3.8355795148248,1
"246",150580,2007,3.36957888120679,1
"247",150590,2007,3.98979591836735,1
"248",150600,2007,3.89713541666667,1
"249",150610,2007,3.67136150234742,1
"250",150611,2007,3.9281045751634,1
"251",150613,2007,4.82614678899083,1
"252",150616,2007,4.7377938517179,1
"253",150618,2007,4.74978503869304,1
"254",150619,2007,4.27586206896552,1
"255",150620,2007,4.37647058823529,1
"256",150630,2007,4.33589743589744,1
"257",150635,2007,4.52409638554217,1
"258",150640,2007,3.62376237623762,0
"259",150650,2007,4.63691838291381,1
"260",150655,2007,4.11818181818182,1
"261",150658,2007,4.14563106796117,0
"262",150660,2007,4.16899618805591,1
"263",150670,2007,4.52898550724638,1
"264",150680,2007,5.17189613199892,1
"265",150690,2007,4.18897637795276,1
"266",150700,2007,4.4265625,1
"267",150710,2007,4.35365853658537,1
"268",150715,2007,4.38503649635036,1
"269",150720,2007,3.8697247706422,1
"270",150730,2007,4.39333333333333,1
"271",150740,2007,4.16981132075472,1
"272",150745,2007,4.04803493449782,1
"273",150746,2007,4.43589743589744,1
"274",150747,2007,3.96345514950166,1
"275",150750,2007,4.26114649681529,1
"276",150760,2007,4.1373035566584,1
"277",150770,2007,4.01894736842105,0
"278",150775,2007,4.06060606060606,1
"279",150780,2007,4.17258883248731,1
"280",150790,2007,4.20318725099602,1
"281",150795,2007,4.2359022556391,0
"282",150796,2007,4.54166666666667,1
"283",150797,2007,4.96374622356495,1
"284",150800,2007,4.03997613365155,1
"285",150803,2007,4.05394190871369,1
"286",150805,2007,4.3955223880597,1
"287",150808,2007,4.54569190600522,1
"288",150810,2007,4.62214708368555,1
"289",150812,2007,4.69230769230769,1
"290",150815,2007,4.37125748502994,1
"291",150820,2007,4.3546365914787,1
